learner_seed,mechanism,source_seed,source_index,step,controller_latency_ms,intervened,rejected,infeasible,action_correction,reward,normalized_state_margin,physical_violation,actuator_saturated,action_interface_error
2040,clean_reinforce_snapshot,5050,0,0,0.067276,False,False,False,0.0,-0.04848507948819781,-0.34845918191969333,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,1,0.032601,False,False,False,0.0,-0.014034423734838214,-0.42292144276064314,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,2,0.028554,False,False,False,0.0,-0.02071445318748899,-0.40383212691251497,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,3,0.028373,False,False,False,0.0,-0.013364622610785236,-0.4255372844903659,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,4,0.027892,False,False,False,0.0,-0.012853736105260692,-0.4275295731385919,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,5,0.028183,False,False,False,0.0,-0.010277036743723359,-0.4373062481716758,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,6,0.027462,False,False,False,0.0,-0.009081735385935054,-0.44253570727796365,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,7,0.027512,False,False,False,0.0,-0.007750776844854493,-0.4488963882943227,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,8,0.027472,False,False,False,0.0,-0.006815459862169381,-0.45390716976420087,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,9,0.027722,False,False,False,0.0,-0.005991777748582318,-0.4587714270440823,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,10,0.027091,False,False,False,0.0,-0.005340713541725028,-0.4630169990796843,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,11,0.027141,False,False,False,0.0,-0.0047938135281697615,-0.46692329719867,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,12,0.027111,False,False,False,0.0,-0.004343816506223941,-0.4704231434082145,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,13,0.027001,False,False,False,0.0,-0.003965605119813177,-0.47360059963810414,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,14,0.027141,False,False,False,0.0,-0.0036469187558677055,-0.47646608633256493,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,15,0.027041,False,False,False,0.0,-0.003374818995275096,-0.47905871705289244,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,16,0.027491,False,False,False,0.0,-0.0031402836804035263,-0.48140039909700205,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,17,0.027031,False,False,False,0.0,-0.0029356350097937364,-0.483517027157135,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,18,0.026871,False,False,False,0.0,-0.002754999189633785,-0.4846350363361621,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,19,0.02678,False,False,False,0.0,-0.0025936540405371157,-0.48477425790716605,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,20,0.027281,False,False,False,0.0,-0.0024479143154363917,-0.48493884265237064,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,21,0.02689,False,False,False,0.0,-0.002314873874648846,-0.4851257146972516,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,22,0.026991,False,False,False,0.0,-0.0021922643482090447,-0.4853320958476355,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,23,0.02683,False,False,False,0.0,-0.0020783150741146175,-0.4855554771934314,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,24,0.02689,False,False,False,0.0,-0.001971651232695288,-0.485793593431696,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,25,0.026931,False,False,False,0.0,-0.001871208085510646,-0.48604439966093904,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,26,0.026721,False,False,False,0.0,-0.001776164084360095,-0.4863060504015236,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,27,0.02657,False,False,False,0.0,-0.0016858868962173119,-0.4859317345037664,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,28,0.026961,False,False,False,0.0,-0.0015998907443696034,-0.48558077723581017,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,29,0.02718,False,False,False,0.0,-0.0015178025030721308,-0.4852949326364989,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,30,0.02673,False,False,False,0.0,-0.0014393349622842993,-0.4850677482064338,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,31,0.02662,False,False,False,0.0,-0.0013642657907791077,-0.48489338263709175,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,32,0.0266,False,False,False,0.0,-0.0012924210801546542,-0.4847665473908516,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,33,0.026559,False,False,False,0.0,-0.0012236625396887565,-0.48468245389544934,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,34,0.02665,False,False,False,0.0,-0.0011578776017659238,-0.48463676581682535,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,35,0.02662,False,False,False,0.0,-0.0010949718376833542,-0.4846255559191409,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,36,0.026821,False,False,False,0.0,-0.0010348632021921825,-0.4846452670711333,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,37,0.027862,False,False,False,0.0,-0.000977477719426759,-0.4846926769990455,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,38,0.0265,False,False,False,0.0,-0.0009227462997641804,-0.4847648664255011,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,39,0.02669,False,False,False,0.0,-0.0008706024391579598,-0.48485919026815405,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,40,0.02659,False,False,False,0.0,-0.000820980602612595,-0.48497325160349253,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,41,0.026359,False,False,False,0.0,-0.0007738151339007777,-0.4851048781295005,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,42,0.02668,False,False,False,0.0,-0.0007290395662006751,-0.4852521008865653,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,43,0.02653,False,False,False,0.0,-0.0006865862345452016,-0.4854131350191876,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,44,0.02672,False,False,False,0.0,-0.000646386112026874,-0.4855863623820068,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,45,0.026349,False,False,False,0.0,-0.0006083688085838202,-0.48577031581258256,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,46,0.026069,False,False,False,0.0,-0.0005724626846964062,-0.48596366491048265,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,47,0.026109,False,False,False,0.0,-0.0005385950431027036,-0.48616520317768613,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,48,0.026349,False,False,False,0.0,-0.0005066923702218454,-0.48637383638927956,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,49,0.026429,False,False,False,0.0,-0.00047668060578019136,-0.4865885720760492,False,False,0.0
2040,clean_reinforce_snapshot,5050,0,50,0.02658,False,False,False,0.0,-0.0004484854245192355,-0.4868085100119783,False,False,0.0
